mRNA	logFC	FDR	Short	Long	Delta
C6orf223	-3.3867875928737754	1.4513598144446564e-6	517.4358974358975	43.48148148148148	1752.4454775434049
SLITRK3	-6.638070373400701	1.840022467758687e-7	251.28205128205127	2.4444444444444446	1668.0279399827402
INS	-7.250715481239619	0.06638811830890283	194.47435897435898	1.0740740740740742	1410.0782453195357
B4GALNT2	-1.7075116070112069	0.07134286919619288	815.025641025641	241.5	1391.6657420630313
UGT1A7	-3.715316182572926	0.2072665897512326	372.56410256410254	18.685185185185187	1384.1934393021695
CA10	-3.815972755390732	0.008330688198148086	359.3205128205128	24.685185185185187	1371.1572873761031
GCG	-8.403666650729669	0.02305970978205243	149.14102564102564	0.2962962962962963	1253.3314634351054
BCHE	-2.760937739730835	4.307604641231398e-6	416.4871794871795	86.20370370370371	1149.895171960204
SLC13A2	-1.416035695679142	0.2677565581695835	807.3717948717949	264.68518518518516	1143.2672812229996
HSD3B2	-3.295641988726288	0.003704878515099328	344.11538461538464	34.388888888888886	1134.0811105051578
CDC20B	-1.8353847720730634	0.17804877825211599	589.5384615384615	204.59259259259258	1082.0299148590736
LOC84740	-2.8650545254384516	1.827846254134213e-5	348.3076923076923	56.55555555555556	997.9205300911776
CYP4F22	-1.3323781654236837	0.24604231614221073	730.8205128205128	329.3703703703704	973.7292941257906
GABRB3	-1.233743071077559	0.23404089538390105	787.4871794871794	282.81481481481484	971.5568512547177
CTSE	-2.797396777163958	0.00838949260192155	332.14102564102564	41.888888888888886	929.1302346921367
LACRT	-5.919730191607572	4.929689749830612e-4	156.12820512820514	2.4814814814814814	924.2368496589361
TSIX	-1.029102274663901	0.3300051992206557	815.7051282051282	461.0925925925926	839.4440028909063
FAM135B	-2.901753559791428	3.131096662226148e-5	277.85897435897436	32.907407407407405	806.278267966149
CAMP	-1.6823316938883288	0.012452545293045599	475.21794871794873	118.61111111111111	799.4742166328036
DKK1	-1.0267082840513673	0.47755342183984645	774.8205128205128	500.962962962963	795.5146391657491
TTR	-4.894521095000212	6.81901793490125e-4	154.66666666666666	4.074074074074074	757.0192626933662
HAPLN1	-2.0899745452176073	6.415909830932766e-5	337.8205128205128	88.42592592592592	706.0362726472301
CHGB	-2.522921836601499	0.0029974444406659297	271.62820512820514	42.592592592592595	685.29673015482
EPHA3	-1.0886458236750916	0.04871725188330585	606.3846153846154	269.81481481481484	660.1380790792882
SPANXC	-5.16606512217894	0.030135795329885383	126.53846153846153	2.1666666666666665	653.7059327680274
SPDYC	-2.4798633484280588	0.03001637873611558	261.2307692307692	64.9074074074074	647.8166100970528
LMO3	-1.213283954571037	0.047889287365679156	518.7179487179487	210.55555555555554	629.3521641274892
C20orf85	-3.955236206305046	0.04222443111547052	157.02564102564102	16.09259259259259	621.0735007028744
PYDC1	-2.0986278534541056	0.024480216028816365	295.85897435897436	74.24074074074075	620.8978842841077
RTL1	-5.7268799249075695	1.873291157955686e-4	100.87179487179488	2.259259259259259	577.6806570406764
NPTX1	-2.3633943333125336	1.0992875484844659e-5	238.55128205128204	38	563.7907482044399
CRLF1	-1.2762348921678208	0.0236794341689023	429.1794871794872	189.66666666666666	547.7338365411534
ANK1	-1.6310522329891413	0.00473116817762209	317.93589743589746	99.03703703703704	518.5700554602272
MYO3B	-2.481791224589026	2.6273341661179245e-4	206.9102564102564	41.55555555555556	513.5080586364396
NTNG1	-1.7967510055410634	0.0377888234548486	282.4102564102564	72.85185185185185	507.42091218023774
MLC1	-2.3033114682099103	0.0030914213616240666	217.5	42.2962962962963	500.9702443356555
FOXJ1	-1.1993815700888857	0.3781620677344532	407.84615384615387	217.5185185185185	489.1631603547132
MYOM2	-1.620543564940829	0.012581134535463966	289.1794871794872	79.25925925925925	468.62795706160693
ZFP57	-1.5742858632780026	0.2799142805494451	293.47435897435895	128.9814814814815	462.0125345679071
SPAG6	-2.1375187989300284	0.0490608092656417	212.05128205128204	81.85185185185185	453.2636017218291
KCNK3	-1.6536383564003596	0.002204573058056748	273.2307692307692	74.68518518518519	451.82488014877515
AKR1B15	-1.3708286142475667	0.3522536261199513	319.88461538461536	102.18518518518519	438.50698402680814
ITIH2	-1.9721545909238882	0.08069063546443807	219.80769230769232	48.907407407407405	433.49474950500087
C1orf95	-1.2068014280492296	0.3074591981711017	356.03846153846155	173.55555555555554	429.6677238250661
SOX2	-1.2552789462188123	0.432404882072606	338.1923076923077	148.07407407407408	424.5256836193083
MUC4	-1.8427113374198985	0.006165931523330247	220.6153846153846	54.148148148148145	406.5304704400207
ZP2	-2.9561549349021585	0.04695825144707755	129.66666666666666	14.833333333333334	383.31475655897987
KRT24	-1.9265527221844772	0.38954674028851455	194.66666666666666	72	375.0355965852449
FCRLB	-1.297792717815027	0.08923321325846467	279.9230769230769	120.27777777777777	363.28213077914484
PAGE5	-2.2853601672491193	0.4258965210690006	157.24358974358975	31.74074074074074	359.3582365552622
CLDN9	-1.7306568604274293	0.002224304548313374	205.60256410256412	75.46296296296296	355.8274880855729
LHX1	-1.8322729951519923	0.4258965210690006	192.8846153846154	48.25925925925926	353.41727194950926
MCOLN3	-1.12174571240523	0.031158557283024812	311.02564102564105	150.12962962962962	348.891679268601
SBSN	-1.5973488055221334	0.22372751456440346	205.97435897435898	60.870370370370374	329.0128962758794
SCGN	-1.645846657459624	0.19796155217255534	195.21794871794873	92.20370370370371	321.29880837356023
UPK1A	-1.6490088086905532	0.10659950198161902	188.46153846153845	76.44444444444444	310.7747370224504
SYT8	-1.2478315393482342	0.21572602493973497	235.53846153846155	106.5	293.9123210372533
CCDC129	-1.8699845641579655	0.11052658641817495	152.76923076923077	38.51851851851852	285.67610341674765
VTN	-1.645699956527772	0.05770661115451761	168.37179487179486	62.55555555555556	277.0894555010157
GDPD2	-2.0052471864286048	0.016899285619140152	137.89743589743588	40.148148148148145	276.5184453490522
S100G	-3.3920981217775408	0.22029468584910822	80.11538461538461	3.759259259259259	271.75924567933146
TCHHL1	-3.6276827930259348	0.018965746727975314	72.65384615384616	6.148148148148148	263.5651075394612
PXDNL	-1.054236891674284	0.12944238337092906	247.1153846153846	133.14814814814815	260.51815496181825
VIPR2	-1.13388636593577	0.2930989254736273	225.85897435897436	111.38888888888889	256.09841164987773
MT1A	-1.6494341629063651	0.036493862011652244	154.62820512820514	65.62962962962963	255.04904408735476
CLDN6	-1.6924767414620012	0.2785588296378917	149.06410256410257	52.75925925925926	252.28752657664987
SLC5A5	-1.384022312586125	0.20529223657371118	176.26923076923077	83.44444444444444	243.96054840700813
SLC7A4	-1.9140224150494862	0.05010995831834117	124.66666666666667	44.851851851851855	238.61479440950262
PIPOX	-1.2079953657299285	0.028327176452853847	196.26923076923077	94.62962962962963	237.09232120460865
PCDH9	-1.627763775417276	7.604061106188134e-4	134.75641025641025	37.48148148148148	219.3516031206537
PKNOX2	-1.5224850635170082	0.01063656774370204	143.97435897435898	46.074074074074076	219.19881106789745
RIMBP2	-2.9750455253070505	1.644393335228984e-7	73.24358974358974	12.61111111111111	217.90301392409202
SYT5	-1.9325858035372605	0.013526062489336405	106.35897435897436	30.77777777777778	205.54784392493735
HPDL	-1.0271429908320073	0.12944238337092906	187.56410256410257	83.94444444444444	192.65515328041369
TRIM55	-2.0745617090522845	0.01983927826964124	91.78205128205128	13.11111111111111	190.40752916801674
RAET1E	-1.2991207344512414	0.02896896795298612	145.02564102564102	56.833333333333336	188.40581728349287
C6orf127	-1.4116827334295705	0.11211508887047793	129.5897435897436	41.18518518518518	182.9396034552064
PCDHA5	-1.544129103205767	0.006165931523330247	115.97435897435898	38.351851851851855	179.07938291794062
HABP2	-1.4402659473568928	0.093961686571491	123.8974358974359	39.666666666666664	178.44525788791043
EFCAB5	-2.351759639751737	1.1958414555285582e-5	71.37179487179488	13.12962962962963	167.84930659612718
SLC12A3	-1.7822230998240334	0.03001637873611558	93.35897435897436	41.907407407407405	166.38652067844373
PTPRH	-1.2706705481938583	0.009099988821932824	130.52564102564102	55.48148148148148	165.85508783540604
EDDM3B	-1.571763143235865	0.41400165203198874	104.58974358974359	26.962962962962962	164.39030413484855
PAGE2B	-2.0566177216641837	0.41884353212884323	79.65384615384616	19.48148148148148	163.81751159871249
CES4	-2.355710435402029	0.001079288248168818	69.41025641025641	13.5	163.51046534957158
AKR1D1	-1.7926283665254106	0.13657237738707328	89.42307692307692	24.72222222222222	160.3023443142915
UCA1	-1.3497725593214818	0.11757812296808234	117.8974358974359	47.81481481481482	159.1347237887224
CYP3A5	-1.5042628713136945	0.00643821004930073	103.17948717948718	39.7037037037037	155.20907164528992
DUSP5P	-2.211365352947614	7.790658597358557e-5	69.8974358974359	14.574074074074074	154.56876800346657
PHGR1	-1.8994974734405454	0.21538573031893216	79.67948717948718	22.24074074074074	151.35098458247424
FRMPD1	-1.5982920114676	6.981980683686979e-4	91.53846153846153	26.944444444444443	146.3051918189572
ACADL	-1.467363059233829	0.2738100023025166	98.84615384615384	35.77777777777778	145.04319470119
DSCR8	-1.8386991813797646	0.4258965210690006	74	27.72222222222222	136.06373942210257
TCHH	-1.17389102553656	0.016899285619140152	107.26923076923077	55.18518518518518	125.92238731621023
SYN1	-1.0905063325797184	0.013185797385946394	115.26923076923077	50.55555555555556	125.70182610543908
NNAT	-1.077311406578482	0.10921495802890095	108.76923076923077	41.25925925925926	117.1783329924595
FLG	-1.5039328069918538	0.0017989004778300734	71.07692307692308	26.944444444444443	106.894916435421
BMP3	-1.3832504263331038	0.32653192550377147	71.57692307692308	27.074074074074073	99.00880936176563
GPR115	-1.2436542070080217	0.08069063546443807	79.32051282051282	36.25925925925926	98.64728947126449
GCNT3	-1.3380135946466052	0.1455086101208066	70.74358974358974	37.96296296296296	94.65588481102522
BDNF	-1.2153676600338155	0.1311776583039844	77.5	27.59259259259259	94.1909936526207
CAPSL	-1.303166910405496	0.1534734842416335	72.15384615384616	34.851851851851855	94.02850476618117
CABP4	-1.0957719296889508	0.04470848700993884	82.76923076923077	36.407407407407405	90.69619971887008
KIAA1409	-1.4523240190390359	0.01634909506430677	62.03846153846154	20.055555555555557	90.09994779653711
TCEAL2	-1.4536309614215621	0.013699618763036854	61.53846153846154	19.38888888888889	89.45421301055767
LOC152225	-1.1979162443691793	0.3520324885149023	70.83333333333333	29.51851851851852	84.85240064281686
STK31	-1.0119896129671766	0.3383142149577786	70.25641025641026	37.03703703703704	71.0987574238478
KCNQ3	-1.1164555418317503	0.004541790212172172	55.8974358974359	28.09259259259259	62.40700208187733
ODZ1	-1.0394243237142096	0.09349345403138305	54.12820512820513	31.72222222222222	56.26217300924863
ZNF804A	-1.0434686285950228	0.019147615309766667	53.91025641025641	30.51851851851852	56.25366132361629
